"Term","Avg_Rate","Credit_Rating","Date"
"36",10.89,"A","2012-05-10"
"60",19.5,"C","2012-04-10"
"60",24.89,"C","2014-02-27"
"36",10.99,"A","2013-02-20"
"60",24.89,"D","2013-09-14"
"36",31.77,"HR","2014-02-27"
"36",15.99,"B","2012-05-10"
"60",26.32,"D","2013-09-14"
"36",28.39,"E","2013-09-14"
"36",19.2,"C","2013-02-20"
"36",14.85,"B","2012-04-10"
"36",14.14,"B","2012-05-10"
"60",22.09,"C","2012-04-10"
"60",29.16,"E","2012-05-10"
"60",12.69,"A","2012-04-10"
"36",12.49,"A","2012-04-10"
"36",12.74,"B","2013-02-20"
"36",8.69,"AA","2012-04-10"
"36",17.68,"B","2014-02-27"
"60",15.35,"B","2012-04-10"
"60",26.94,"E","2013-02-20"
"36",17.74,"C","2013-09-14"
"36",19.02,"C","2012-10-22"
"36",24.92,"D","2012-05-10"
"36",31.77,"HR","2013-09-14"
"36",20.49,"C","2012-05-10"
"36",25.11,"D","2014-02-27"
"36",31.77,"HR","2014-02-27"
"36",31.77,"HR","2012-10-22"
"60",14.19,"B","2013-04-12"
"60",12.08,"AA","2013-09-14"
"36",6.99,"AA","2012-05-10"
"36",19.5,"C","2012-04-10"
"60",13.99,"B","2012-04-10"
"60",18.9,"C","2013-02-20"
"36",28.39,"E","2013-09-14"
"36",12.99,"A","2012-05-10"
"60",13.34,"A","2012-05-10"
"60",26.24,"E","2013-02-20"
"60",23.59,"D","2012-05-10"
"60",30.96,"E","2012-05-10"
"36",13.99,"B","2012-04-10"
"36",22.72,"D","2013-04-12"
"60",22.2,"C","2014-02-27"
"36",20.49,"C","2012-05-10"
"60",14.35,"B","2013-02-20"
"36",9.3,"A","2013-02-20"
"36",15.85,"C","2013-02-20"
"36",17.34,"C","2012-04-10"
"60",19.84,"C","2012-04-10"
"60",26.29,"E","2013-02-20"
"60",14.74,"B","2012-05-10"
"12",12.59,"C","2014-02-27"
"36",14.49,"B","2014-02-27"
"60",17.95,"C","2013-02-20"
"36",23.46,"D","2012-04-10"
"60",13.96,"A","2014-02-27"
"36",16.79,"B","2012-10-22"
"60",19.8,"C","2012-04-10"
"60",16.95,"C","2012-04-10"
"36",9.74,"A","2013-09-14"
"36",23.94,"D","2013-02-20"
"36",19.05,"C","2013-02-20"
"36",15.7,"C","2013-02-20"
"36",22.35,"D","2013-02-20"
"36",16.55,"C","2013-02-20"
"36",11.89,"A","2013-02-20"
"36",12.49,"A","2013-04-12"
"36",31.77,"HR","2013-09-14"
"36",14.35,"B","2013-02-20"
"36",14.85,"B","2012-04-10"
"60",10.99,"A","2012-05-10"
"60",21.79,"C","2012-05-10"
"60",17.65,"C","2013-02-20"
"60",18.74,"C","2013-04-12"
"36",11.53,"A","2012-04-10"
"36",18.99,"C","2012-05-10"
"36",15.2,"B","2012-04-10"
"36",31.77,"HR","2012-10-22"
"60",15.51,"A","2012-10-22"
